Key,Type,Desc,English (United States),Chinese
Contracts/StatAverageEfficiency,Text,,Average Kitchen Efficiency,平均廚房效率
Contracts/StatCompletedContracts,Text,,Completed Contracts,完成的合約
Contracts/StatCompletedEasyContracts,Text,,- Easy Difficulty,- 簡單難度
Contracts/StatCompletedHardContracts,Text,,- Hard Difficulty,- 困難難度
Contracts/StatCompletedMediumContracts,Text,,- Medium Difficulty,- 中等難度
Contracts/StatDisasters,Text,,Disasters Caused,造成的災難
Contracts/StatFavouriteClient,Text,,Favourite Client,最喜愛客戶
Contracts/StatForfeitContracts,Text,,Contracts Forfeit,放棄的合約
Contracts/StatMachinesUnlocked,Text,,Machines Unlocked,解鎖的機器
Contracts/StatMoneyMade,Text,,Money Made,賺取的金錢
Contracts/Stats,Text,,Statistics,統計數據
Contracts/Title In Progress,Text,,Contract in Progress,進行中合約
Contracts/Title Incoming,Text,,Contract Proposal,合約提案
Contracts/TypeNewKitchen,Text,,Type: New Kitchen,類型：新廚房
Contracts/TypeRefurbish,Text,,Type: Refurbish Kitchen,類型：翻新廚房
Demo Head To Store Switch,Text,,Head to Nintendo eShop,前往Nintendo eShop
Dishes/BLT,Text,,BLT,BLT三明治
Dishes/BaconFries,Text,,Bacon Fries,培根薯條
Dishes/BeachBurger,Text,,Beach Burger,沙灘漢堡
Dishes/BigSalad,Text,,The Big Salad,巨無霸沙拉
Dishes/CNDumplingsServing,Text,,Dumplings Serving,成份餃子
Dishes/CNKungPaoChicken,Text,,Kung Pao Chicken,宮保雞丁
Dishes/CNSteamedRiceServing,Text,,Steamed Rice Serving,成份蒸米飯
Dishes/CheeseBurger,Text,,Cheeseburger,奶酪漢堡
Dishes/CheesyDog,Text,,Cheesy Dog,奶酪熱狗
Dishes/ChickenMelt,Text,,Chicken Melt,雞肉奶酪三明治
Dishes/ChickenSalad,Text,,Chicken Salad,雞肉沙拉
Dishes/ComboAirshow1,Text,,Triplane Meal,三翼機套餐
Dishes/ComboAirshow2,Text,,Altimeter Meal,高度計套餐
Dishes/ComboBessieColeman,Text,,Helicopter Meal,直升機套餐
Dishes/ComboBigFamily,Text,,Big Family Meal,大份家族套餐
Dishes/ComboCharlesLindbergh,Text,,Jet Age Meal,噴氣時代套餐
Dishes/ComboDopamine,Text,,Dopamine Meal,多巴胺套餐
Dishes/ComboDoubleBypass,Text,,Double Bypass Meal,心臟搭橋套餐
Dishes/ComboDoubleDog,Text,,Double Dog Meal,雙狗套餐
Dishes/ComboHealthyFamily,Text,,Healthy Family Meal,健康家族套餐
Dishes/ComboHeartStopper,Text,,Heart Stopper Meal,怦然心動套餐
Dishes/ComboHotDogSampler,Text,,Hot Dog Sampler Meal,熱狗薈萃套餐
Dishes/ComboNotSoUnhealthy,Text,,Not-So-Unhealthy Meal,街邊小吃套餐
Dishes/ComboSmallFamily,Text,,Small Family Meal,小份家族套餐
Dishes/ComboSouthern,Text,,Southern Meal,南方套餐
Dishes/DoubleBaconBurger,Text,,Double Bacon Burger,雙層培根漢堡
Dishes/ExtremeBurger,Text,,Extreme Burger,至尊漢堡
Dishes/FancySalad,Text,,Fancy Salad,豪華沙拉
Dishes/FriedChicken,Text,,Fried Chicken,炸雞
Dishes/Fries,Text,,Fries,薯條
Dishes/HotWings,Text,,Hot Wings,辣翅
Dishes/LoadedFries,Text,,Loaded Cheese Fries,加料奶酪薯條
Dishes/PlainBurger,Text,,Plain Burger,普通漢堡
Dishes/PlainHotDog,Text,,Plain Hot Dog,普通熱狗
Dishes/SideSalad,Text,,Side Salad,配菜沙拉
Dishes/SpicyBLT,Text,,Spicy BLT,辣味BLT三明治
Dishes/TGCornbread,Text,,Cornbread,玉米麵包
Dishes/TGPumpkinPie,Text,,Pumpkin Pie,南瓜派
Dishes/TGRoastTurkey,Text,,Roast Turkey,烤火雞
Dishes/TGSweetPotatoesSide,Text,,Sweet Potatoes Side,番薯小菜
Dishes/TexasBurger,Text,,Texas Burger,德州漢堡
Dishes/UltimateDog,Text,,Ultimate Dog,至尊熱狗
HowToPlay/ActionButtonsBody,Text,,"There are four action buttons at the top of the Parts & Blueprints list, from left to right these are: *Move*, *Clone*, *Recipes* and *Camera*.

Press the *Move* button to draw a marquee to select machines to move (retaining their current settings).

Press the *Clone* button to draw a marquee to duplicate a section of machines (duplicate their current settings).

Press the *Recipes* button to open the Recipes tab.

Press the *Camera* button to cycle through the pre-set camera positions.","在部件與藍圖列表的頂部有四個行動按鈕，從左到右分別為：*移動*，*複制*，*食譜*和*視角*。

按下*移動*按鈕即可畫出選取框，選擇要移動的機器。（保存機器的當前設置）

按下*複制*按鈕即可畫出選取框，對一片區域的機器進行複制。（複制機器的當前設置）

按下*食譜*按鈕即可打開食譜選項卡。

按下*視角*按鈕即可循環切換預設視角位置。"
HowToPlay/ActionButtonsTitle,Text,,Action Buttons,行動按鈕
HowToPlay/AssemblersBody,Text,,"*Assemblers* are configured to construct a single type of dish. They require the raw ingredients to be fed into them by robot arms. Each assembler has its own operation mode setting, allowing it to operate at different speeds. The time it takes to construct a dish is displayed on the machine settings panel, but remember – the faster a dish is constructed, the more electricity it will use!

Only Advanced Assemblers can construct dishes that require sauces. 

Packaging Machines are required for both boxing up certain individual orders (such as Fries or Hot Wings) and for combining completed meals into Combo meals.","*組合機*進行設置後，可以製作單一種類的菜肴。需要機械臂將生食材送入機器，方可進行工作。每個組合機都有其自己的運行模式設置，可以以不同速度運行。制造菜肴所需的時間會在機器設置面板上顯示，不過要記住——生產菜肴的速度越快，所耗的電力也就越高！

只有高級組合機可以製作需要醬汁的菜肴。

如果需要對特定訂單進行打包（如薯條或辣翅）或將完成的食物組合成組合套餐，則需要使用包裝機。"
HowToPlay/AssemblersTitle,Text,,Machines - Assemblers,機器 - 組合機
HowToPlay/BlackoutsBody,Text,,"If a kitchen has a *Blackout Limit* visible when running, then it means that if the energy usage for any given moment crosses that limit, a blackout will be caused and the kitchen will fail. A message will appear on screen when the energy usage is dangerously close to a blackout. Use machine power settings (where available) and fine tune which machines are on at any given moment to control energy usage. Pay attention to high-energy usage machines, such as the Teleporter, as these will cause large spikes in energy usage when used.",如果廚房在運行時出現*停電限制*，即意味着如果在某個時刻廚房的電力消耗超過限制，則會導致停電，廚房也會失敗。當電力消耗過於接近停電限制時，屏幕上會出現提示消息。使用機器能耗設置（僅限可用時）隨時對機器的能耗進行調整。隨時注意傳送器等高能耗機器，這些機器在使用時會導致電力用量高峰。
HowToPlay/BlackoutsTitle,Text,,Blackouts,停電
HowToPlay/BlueprintsBody,Text,,"Blueprints are saved copies of a single machine, or group of machines that can be used in other levels. Blueprints retain all the settings of the original machine(s).

To create a blueprint, head to the Blueprints tab in the Parts list, then press the *+ New Blueprint* button, you will then be able to draw a marquee around the machines you wish to include in the new blueprint.

Saved blueprints can be used in other levels, however they are only accessed if all the individual machines within the blueprint are available in that level.","藍圖是單台或一組機器的保存副本，可以在其他關卡中進行使用。藍圖會保留原始機器中的全部設置。

要創建藍圖，首先進入部件列表，打開藍圖標籤，然後點擊*+ 新藍圖*按鈕，即可畫出選取框，將你想要加入新藍圖的機器圈入其中。

保存的藍圖可以在其他關卡中使用。然而，只有在藍圖中包含的各種機器均可在新地圖中使用時，才能在新地圖中使用該藍圖。"
HowToPlay/BlueprintsTitle,Text,,Blueprints,藍圖
HowToPlay/ContractsBody,Text,,"Contracts mode offers a chance to run your own kitchen building company, receiving contracts from restaurant chains with you being in control of which kitchens you decide to work on. Your business has its own cash reserve, used for buying machines to complete the contracts.

You will start with a basic set of machines. Invest your business’s cash into unlocking additional machines in the Machines screen, so that they can be purchased when working on contracts.

Contract offers are received in the inbox tab, their difficulty can be configured before accepting: the harder the contract, the more lucrative the pay-out! Clients will offer an efficiency bonus that will be paid if you can hit (or better) a desired efficiency target.

You will be able to work on kitchens with a negative amount of cash (debt), however you will only be able to unlock new machines when your cash goes back into the positive.","合約模式讓你運營自己的廚房建設公司，從連鎖餐館處收取合約，由你控制選擇要製作哪些廚房。你的企業擁有其自己的存款，供購買機器、完成合約之用。

在開始的時候，你會獲得一套基礎機器。使用公司現金進行投資，在機器界面解鎖額外機器，方可進行購買並在完成合約的過程中使用。

合約提案會在收件箱標籤中出現，而難度也可以在接受合約之前進行調整：合約難度越高，完成的回報也就越高！如果你能滿足（甚至超額完成）客戶提出的效率目標，客戶還會提供效率獎勵。

就算你的現金量為負數（負債）也可以製作廚房，但只有在現金量為正數時方可解鎖新機器。"
HowToPlay/ContractsTitle,Text,,Contracts Mode,合約模式
HowToPlay/ControlBody,Text,,"*Control* machines can be configured to issue on/off commands to machines they are connected to based off food orders placed by customers. 

This category includes the AC-16 and AC-32 programmable computers, which both allow for commands to be input in a basic programming language for fine control over a kitchen.

The Repeater is a machine that can turn up to four other machines on or off, depending on the input itself is receiving. An Order Reader connected to four Repeaters can turn 16 other connected machines on or off.

The Counting Machine can count the number of ingredients in a specific machine, then (based off that value) turn on another separate machine. Perfect for dispensing more ingredients if a storage unit’s supply starts to go dwindle! ","你可以對*控制機*進行設置，令其在接到訂單時對與其連接的機器下達開/關指令。

這個類型包括AC-16與AC-32可編程電腦，都可以使用基礎編程語言設置指令，以實現對廚房的精密操控。

中繼器是一種可以同時令四台其他機器進行開關的機器，具體開關指令視其受到的輸入信號決定。訂單讀取器若與四台中繼器進行連接，則可以同時對16台其他機器進行開關操作。

計數器可以計算特定機器中的食材數量，然後（基於此數量）打開另一台機器，最適合在倉儲單元的儲量不足時用於分配更多食材！"
HowToPlay/ControlTitle,Text,,Machines - Control,機器 - 控制機
HowToPlay/DisastersBody,Text,,"The level objectives panel will list any disasters that are at risk of occurring in the kitchen. Disasters fall into three categories, with each having a specific machine type available to combat it. Whilst disaster-response machines are available, the efficient approach is to fix the problems with the underlying kitchen layout.

*Fires* can break out if ingredients remain on a cooking machine for too long. Once a fire has started, it will spread to surrounding machines unless extinguished by the Sprinkler or Fire Extinguisher machines.

*Breakdowns* can occur if a machine is under a high amount of strain (such as an assembler producing dishes in extremely quick succession). Configure machines to operate at a slower speed or place the Mechanic Mechanic machine to fix nearby breakdowns when they occur.

*Insects* can appear if ingredients remain stationary for too long, causing an infestation to breakout. An infestation can spread to other food stuffs unless exterminated by the XTerminator machine.","關卡任務目標面板會列出廚房中可能發生的各種災難。災難分為三類，每一類都有特定機器可以對其進行處理。雖說隨時可以用機器處理發生的災難，但最有效的辦法還是利用廚房佈局避免潛在問題。

如果食材在烹飪機器中停留時間太長，就會發生*火災*。火災發生後，若不使用灑水器或滅火器進行處理，就會擴散至周圍的機器。

如果機器的工作負載過高，便會出現*故障*（比如組合機要在短時間內生產大量菜肴）。將機器設置為以較慢速度運轉，或放置智能機修工機器，在周邊機器故障時進行修理。

如果食材放置太久未進行處理，便會發生*蟲災*，出現大量害蟲。如果不使用滅殺者機器進行殺蟲，害蟲還會傳播至其他食物材料。"
HowToPlay/DisastersMachinesBody,Text,,"*Disasters* machines are each specialised to deal with a specific type of disaster. These machines are unique in that they have a radius of effect surrounding them: If an associated disaster occurs within that radius, they will automatically resolve it.",每一種*災難*機器都可以對特定種類的災難進行處理。這些機器十分獨特，效果可以覆蓋其周圍特定半徑內的區域。如果在這片區域內發生災難，機器便會自動將其解決。
HowToPlay/DisastersMachinesTitle,Text,,Machines - Disasters,機器 - 災難
HowToPlay/DisastersTitle,Text,,Disasters,災難
HowToPlay/DispenseBody,Text,,"*Dispense* machines are required to bring raw ingredients into a kitchen. Each dispenser can dispense a single type of ingredient, but the speed at which it dispenses can be configured in its machine settings.

Dispensers can dispense directly onto a conveyor belt, or a robot arm can be used to take the ingredient out of the dispenser. ","*分配器*是用來將生食材送入廚房的機器。每個分配器都可以分配一種食材，但分配速度可以在機器設置中進行調整。

分配器可以直接將食材分配到傳送帶上，也可以使用機械臂將食材從分配器中取出。"
HowToPlay/DispenseTitle,Text,,Machines - Dispense,機器 - 分配
HowToPlay/EfficiencyBody,Text,,"Kitchen efficiency is calculated by determining how many dishes were completed in time, how many ingredients were wasted, and what the average amount of energy used was to complete a dish. Those are then combined to represent an overall efficiency percentage for a kitchen.

Top tips for an efficient kitchen:

- *Minimise electricity usage* by configuring machines to use lower-energy modes. Order Readers can be used to turn machines on/off for a set amount of time when orders are received.

- *Minimise Ingredient Wastage* by dispensing only what is needed when an order is received.

- *Minimise the kitchen footprint*, the fewer machines that are needed, the less electricity required, and the less distance ingredients need to travel. Avoid unnecessary conveyor belts wherever possible.

- If an ingredient is required by multiple dishes, potentially use an *Order Reader detecting multiple dish types* to dispense that ingredient, then send it to the appropriate assembler to cut down on unnecessary duplicate machines.","廚房效率取決於多個方面的表現：規定時間內完成的菜肴數、浪費的食材數，以及完成一道菜肴消耗的平均電量。這些因素組合到一起，即會生成廚房的總體效率值。

廚房效率小貼士：

-*儘可能降低電力消耗*可以通過將機器設置為低電力工作模式實現。可以使用訂單讀取器在收到訂單時控制機器，將其打開或關閉一段時間。

-*儘可能減少食材浪費*可以通過僅在接到訂單後再取用食材實現。

-*儘可能減少廚房足跡*需要的機器越少，需要的電力也就越少，食材行經的路程也就越短。儘量避免傳送帶的不必要使用。

-如果多份菜肴都需要同一種食材，你可以使用*訂單讀取器檢測多種菜肴類型*功能取用這種食材，並將其送往相應的組合機，節約不必要的重複機器。"
HowToPlay/EfficiencyTitle,Text,,Efficiency,效率
HowToPlay/LiquidsBody,Text,,"*Liquids* machines are all specialised in introducing and moving sauces around a kitchen. Liquids are initially set in storage tanks, then are either sent via pumps to Advanced Assemblers to be used in a final dish or sent to a Liquid Mixer to be combined into a new sauce type.

Liquids are transported via pipes and require pumps to function. Whenever a new pipe connection is made from a storage tank or a liquid mixer, it MUST first feed into a pump in order to reach its desired location.","*液體*機專門用於在廚房中添加或運輸醬汁。開始時，液體會放在儲罐之中，可以通過高級組合機的泵機直接用於完成的菜肴，也可能送入液體混合機中，與其他液體混合成新類型的醬汁。

液體通過管道進行運輸，需要使用泵機方可工作。當使用新的管道將儲罐或液體混合機進行連接時，必須首先經過泵機使其到達指定的位置。"
HowToPlay/LiquidsTitle,Text,,Machines - Liquids,機器 - 液體
HowToPlay/ObjectivesBody,Text,,"Kitchens have three objectives, they are displayed on the Level Objectives panel when working on a kitchen.

*Dishes Served*: An essential requirement, deliver the target number of dishes. If the kitchen is unable to deliver the minimum number of dishes, the kitchen will fail!

*Electricity Used*: A non-essential requirement, use less than the specified electricity amount.

*Ingredients Used*: A non-essential requirement, use fewer than the specified ingredients amount.

There are no objectives when in the Test Site mode, where you are free to experiment with the machines.","每個廚房都設有三個任務目標，它們會在你工作時顯示在關卡任務目標面板中。

*已上菜肴*：必要條件，你需要配送出指定數量的菜肴。如果廚房未能配送出最低要求數量的菜肴，即告失敗！

*電力消耗*：非必要條件，使用電力數量不超過指定電量即可。

*使用的食材*：非必要條件，要求為使用食材數量不超過特定限制。

測試地點模式不設任務目標，可以隨意使用機器進行測試。"
HowToPlay/ObjectivesTitle,Text,,Objectives,任務目標
HowToPlay/OrderTypesBody,Text,,"When a kitchen is running, orders are received and displayed in the order queue on the left-hand side of the screen. The type of order will need to be taken into account when designing the kitchen.

*Restaurant* meal orders can be delivered in any order. The customers will generally be quite patient.

*Take Out* meal orders can be delivered in any order, however the customers will be less patient than restaurant customers. Take Out customers can also order multiple meals in one go.

*Drive Thru* meal orders MUST be delivered in the correct order: The Meal order at the top of the order queue MUST be delivered first. An Advanced Order Reader can be used to help, as it can be configured to control other machines when an Order reaches the top of queue. Drive Thru customers will also generally be quite patient. ","廚房處於運作狀態時，會收到訂單，並顯示在屏幕左側的訂單隊列中。設計廚房時，需要仔細考慮訂單的類型。

*餐館*配餐訂單可以按照任意順序進行配送。顧客一般來講也比較耐心。

*外賣*配餐訂單也可以按照任意順序進行配送，但顧客不如餐館顧客耐心。外賣顧客也可能一次性訂購多套配餐。

*汽車訂餐*配餐訂單必須按照正確的順序進行配送：必須先對隊列上方的訂單進行配送。高級訂單讀取器可以為你提供幫助，你可以對其進行設置，當訂單到達隊列頂端時，它可以控制其他機器。汽車訂餐的客戶一般來說也較為耐心。"
HowToPlay/OrderTypesTitle,Text,,Order Types,訂單類型
HowToPlay/ReputationBody,Text,,"When a kitchen is running, a *Reputation* percentage will be visible above the order queue. This is the reputation of your kitchen, if that reputation reaches 0%, the kitchen will fail! Reputation can be lost by not satisfying orders in time. The Food Critic special order type will cause the reputation to drop by a larger amount if it is not delivered in time.",廚房運行時，訂單隊列頂部會顯示*聲望*百分比。這就是你廚房的聲望。如果聲望降至0%，即告失敗！未能按時滿足訂單要求，便會損失聲望。如果未能按時完成美食評論家的特別訂單，那麼將損失更多聲望。
HowToPlay/ReputationTitle,Text,,Reputation,聲望
HowToPlay/SalmonellaBody,Text,,"*Raw Chicken* can introduce dangerous bacteria into a kitchen! Other ingredients that are processed/transported by the same machines that handle raw chicken risk catching Salmonella. When a kitchen is running, use the *Lens* filters to view where bacteria (if any) is spreading around a kitchen. Salmonella served to customers will cause a loss in reputation and risk the kitchen failing.",*生雞肉*可能會將危險的細菌帶入廚房！當處理或運送生雞肉的機器接觸其他食材時，便可能造成沙門氏菌感染。當廚房運行時，使用*鏡頭*濾鏡即可查看細菌（如有）在廚房內的分布情況。如果將沙門氏菌感染的食物配送給顧客，不僅會造成聲望損失，還可能導致整個廚房的失敗。
HowToPlay/SalmonellaTitle,Text,,Salmonella ,沙門氏菌
HowToPlay/Scenario Body,Text,,"The *Scenario Editor* allows for custom scenarios to be created that can then be shared with fellow Automachef players.

By using the editor tools you can create a base kitchen layout, then configure the rules and objectives, including which machines are available and what budget limits will be in place. 

Scenarios can be shared via Steam workshop, don’t forget to rate the work of fellow creators!","在*場景編輯器*中，你可以創建自定義場景，並與其他《Automachef》玩家分享。

使用編輯器工具，即可創建基礎廚房佈局，然後設置規則與任務目標，比如可以使用哪些機器、預算上限等等。

場景可以通過Steam創意工坊進行分享，也別忘了給其他作者的作品打分哦！"
HowToPlay/ScenarioBody,Text,,"The Scenario Editor allows for custom scenarios to be created that can then be shared with fellow Automachef players.

By using the editor tools you can create a base kitchen layout, then configure the rules and objectives, including which machines are available and what budget limits will be in place. 

Scenarios can be shared via Steam workshop, don’t forget to rate the work of fellow creators!","在場景編輯器中，你可以創建自定義場景，並與其他《Automachef》玩家分享。

使用編輯器工具，即可創建基礎廚房佈局，然後設置規則與任務目標，比如可以使用哪些機器、預算上限等等。

場景可以通過Steam創意工坊進行分享，也別忘了給其他作者的作品打分哦！"
HowToPlay/ScenarioBodyDRMFree,Text,,"By using the editor tools you can create a base kitchen layout, then configure the rules and objectives, including which machines are available and what budget limits will be in place. 
",使用編輯器工具，即可創建基礎廚房佈局，然後設置規則與任務目標，比如可以使用哪些機器、預算上限等等。
HowToPlay/ScenarioTitle,Text,,Scenario Editor,場景編輯器
HowToPlay/SpecialOrdersBody,Text,,"Special Orders can occur whilst a kitchen is running, they appear in set campaign levels and you will be alerted to them being included during the kitchen introduction.

A *Food Critic* can place an order which immediately heads to the top of the order queue, they are extremely impatient, leaving not much time to complete the order! If the order is not completed, there will be a larger loss of reputation than a regular order. A message on screen will alert to the arrival of the Food Critic.

*Rush Hour* orders will come through at a quicker rate than regular orders, meaning the kitchen will need to be able to deal with potentially many orders at a single time. The Rush Hour will last a set amount of time, A message on screen will alert to the start/end of the Rush Hour.

*Craze* orders will all be for a particular dish which has become extremely popular. A craze will last for a set amount of time, with all orders being for that dish. A message on screen will alert to the start/end of the Craze.","廚房在運行期間還會收到特別訂單。這些訂單會在特定的劇情關卡中出現，在廚房介紹期間，你也會收到提醒。

*美食評論家*下訂單之後，訂單會直接跳躍至隊列頂部。評論家耐心很差，因此供你完成訂單的時間也很少！如果未能完成訂單，造成的聲望損失也比一般訂單多得多。美食評論家到達時，屏幕上會顯示提示信息。

*高峰時段*訂單，會以比平常訂單更快的速度出現，也就意味着廚房可能同時要處理多份訂單。高峰時段會持續一段特定時間，在高峰時段開始/結束時，屏幕上都會顯示提示信息。

*狂熱*訂單中，大家都會訂購某個備受歡迎的特定菜肴。狂熱會持續一段特定時間，且所有訂單都會訂購同一份菜肴。在狂熱開始/結束時，屏幕上都會顯示提示信息。"
HowToPlay/SpecialOrdersTitle,Text,,Special Orders,特別訂單
HowToPlay/StorageBody,Text,,"*Storage* units are used to store ingredients and completed dishes. They keep their contents fresh and allow for food items to be stored in preparation for future orders. Food items that are not put into storage (or processed quickly enough) will spoil, leading to a loss of reputation from unhappy customers, and potentially an infestation of insects!",*儲存*單元可用於儲存食材與完成的菜肴。它們可以保持食材與菜肴的新鮮，還可以留存食物，以便在之後的訂單中使用。未放入儲存單元（或得到及時處理）的食材會變質，導致顧客不滿而造成聲望損失，甚至還可能導致害蟲泛濫！
HowToPlay/StorageTitle,Text,,Machines - Storage,機器 - 儲存
